Sserial,Rsex,RAgeCat,Married,ChildHh,HEdQual3,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
293926,1,2,4,1,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,8,-1,-1,1.06924295508911
293927,2,7,1,1,4,-1,2,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,1,2,2,3.33333333333333,1.58819142778755
293928,1,2,4,2,4,-1,3,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,.686990631376608
293929,1,2,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,1.6,3.16666666666667,1.46896439220604
293930,2,5,3,2,4,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,5,1.8,3.5,.423020088112561
293931,1,1,4,2,2,1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,1,8,8,4,1,2,3,2.9095448217478
293932,1,4,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,3,3.16666666666667,1.46228059653783
293933,2,7,1,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,5,5,3,1.8,2.33333333333333,1.49686148966918
293934,1,5,1,1,2,4,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,2,1,2.4,3,1.67641059749899
293935,2,7,3,1,4,-1,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.24638752761606
293936,2,5,4,2,2,-1,1,3,5,1,5,1,2,5,2,1,-1,-1,-1,-1,2,1.6,2.16666666666667,.564233939154478
293937,2,3,1,1,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,4,5,2.8,2.83333333333333,.747906660599476
293938,2,2,2,1,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,.480495368532716
293939,2,3,1,1,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.30547688379325
293940,1,5,1,2,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,5,2.2,4.16666666666667,.922390884671165
293941,2,1,4,2,1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.4,3.66666666666667,2.13002906472948
293942,1,7,1,2,4,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,1,-1,-1,1.0086145415612
293943,1,4,1,2,3,-1,3,3,4,2,2,4,2,4,2,1,-1,-1,-1,-1,1,3,3.16666666666667,.896563041691336
293944,1,1,4,2,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,8,5,2,1,2,4.33333333333333,1.88477249935747
293945,1,2,4,2,1,5,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,1,1,3.2,4.33333333333333,1.81533911473875
293946,1,7,1,2,1,-1,1,2,1,8,8,5,8,1,1,1,-1,-1,-1,-1,1,3.6,3.16666666666667,.913795841312505
293947,2,2,1,1,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,8,-1,-1,1.71148501037811
293948,2,4,1,2,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,3,-1,-1,.857125490208133
293949,1,3,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,4.4,4.33333333333333,1.37158407840302
293950,1,7,4,2,4,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,-1,-1,.743828429444628
293951,1,7,3,2,4,-1,3,3,4,2,2,4,2,4,2,3,-1,-1,-1,-1,1,2,3.66666666666667,.443816436135016
293952,2,7,1,2,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,4,-1,-1,1.22398909749617
293953,1,3,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,5,2,2,2,3.83333333333333,1.73701092264992
293954,2,4,2,1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,3,1,3.8,3.33333333333333,.451656536655951
293955,1,4,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,4.2,3,1.18885216283026
293956,2,7,3,2,4,-1,4,2,3,4,2,3,2,3,4,3,-1,-1,-1,-1,2,2.8,3.83333333333333,.766813310829537
293957,2,1,4,1,3,2,5,8,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,1.13326333030764
293958,2,4,1,1,2,1,3,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,2.2,2.83333333333333,.802561844756391
293959,2,7,2,2,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,3.8,4,.563622842853456
293960,2,4,3,1,3,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,.479298207858923
293961,1,4,1,2,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,2.6,3,.884609309375134
293962,1,2,1,1,2,-1,5,3,8,8,8,8,8,4,2,1,-1,-1,-1,-1,1,2.6,4,1.59943002847804
