Sserial	WtFactor	RSex	RAgeCat	eq_inc_quintiles	RClassGp	HEdQual3	Married	ChildHh	skipmeal	paptype	SMNews	PartyId2	Politics	SocTrust	Spend1	Dole	TaxSpend	MuchPov	Poverty1	Poverty2	NatFrEst	incdiffs	welfare2	leftrigh	libauth
310131	.815387995503116	1	6	4	5	3	1	2	-1	0	8	1	2	-1	-1	2	2	1	2	2	25	-1	-1	-1	-1
310132	.876410281672857	1	8	-1	-1	8	4	2	1	0	8	5	4	-1	-1	1	8	2	1	1	998	2	3	2	4
310133	.434557324330063	2	7	5	1	1	1	2	-1	0	8	3	2	2	1	1	3	2	1	1	7	-1	-1	-1	-1
310134	.447805238608829	1	7	-1	1	1	2	2	1	2	8	1	3	-1	-1	3	2	1	2	2	5	5	2.25	3.6	2.83333333333333
310135	.813283751032538	1	7	-1	1	1	1	2	-1	2	8	1	2	1	2	3	4	1	2	1	10	-1	3	4	3
310136	1.85115094451951	1	1	-1	-1	2	4	2	-1	0	1	1	3	-1	-1	1	3	1	2	1	20	-1	-1	-1	-1
310137	.714152735926065	1	2	5	1	1	4	2	1	0	8	5	2	-1	-1	3	2	8	2	2	998	5	3.25	3.6	2.33333333333333
310138	1.01188645549567	2	7	-1	1	2	1	2	1	0	8	1	3	-1	-1	2	2	1	2	2	50	3	3.375	3.2	3.16666666666667
310139	.807055197288577	2	7	-1	2	8	3	2	1	0	8	4	5	-1	-1	2	3	2	1	2	50	8	2.75	2.2	3.33333333333333
310140	1.57711534657549	2	2	1	5	2	1	1	-1	0	1	4	3	2	3	1	3	2	2	1	50	-1	2	2	3
310141	.861717777544746	1	7	3	1	2	1	2	1	0	8	4	1	-1	-1	1	3	2	1	2	80	9	1.5	1.2	2.33333333333333
310142	1.6752509154785	1	3	5	1	2	1	2	1	0	8	2	2	-1	-1	1	3	2	1	1	50	1	2.125	2	2.83333333333333
310143	.937124403508161	2	2	-1	2	2	1	2	1	0	2	2	3	-1	-1	1	2	2	1	1	5	2	1.75	2.6	1.5
310144	2.36990956869365	2	1	-1	-1	2	4	2	1	2	2	2	3	-1	-1	2	2	2	2	1	30	2	2.5	2.6	2.66666666666667
310145	1.80368251194973	1	2	4	4	2	1	1	-1	0	2	8	4	2	1	2	1	1	1	1	50	-1	3.25	3.4	3.83333333333333
310146	1.72000075269838	1	2	3	5	3	1	2	-1	2	2	4	3	2	4	2	2	2	2	2	60	-1	2.625	1.8	3.5
310147	.933414441145742	2	3	-1	1	2	1	1	-1	0	2	8	4	2	3	2	2	2	2	2	25	-1	3.25	3.2	4.33333333333333
310148	.835972705539646	2	3	-1	1	1	1	1	1	0	8	8	4	-1	-1	2	2	2	2	2	80	4	4.375	3.2	5
310149	1.27765724174097	1	7	5	1	2	1	1	-1	0	8	3	1	1	1	1	3	2	2	1	998	-1	1.375	1.8	2.5
310150	.937335594348669	2	7	-1	5	4	2	1	-1	0	8	8	3	-1	-1	1	1	2	1	2	100	-1	-1	-1	-1
310151	.862500302341843	2	2	2	-1	4	2	1	-1	0	8	2	4	2	4	3	3	1	2	1	2	-1	2.375	3	3.66666666666667
310152	.791203955707185	2	4	-1	5	3	1	1	-1	1	8	3	5	2	3	2	1	2	2	2	90	-1	3.25	2.8	4
310153	1.20425862842529	1	3	1	1	1	1	1	1	0	8	2	3	-1	-1	3	3	1	2	2	998	3	2.875	3	3.16666666666667
310154	1.00926810935364	1	3	-1	1	1	1	1	-1	0	4	1	2	-1	-1	8	3	2	2	2	5	-1	-1	-1	-1
310155	1.10690107248696	1	3	3	3	2	1	1	-1	0	4	1	3	1	1	1	2	1	2	2	65	-1	3.25	1.6	3.5
310156	1.26471112578653	1	2	3	1	1	1	1	-1	0	1	1	3	1	1	2	2	2	2	2	20	-1	3.375	2.8	4.33333333333333
